Season,Team,HomeMatches,HomeWins,HomeDraws,HomeLosses,HomeGoals,HomeGoalsAllowed,HomeComebackWins,HomeBlownLeads,AwayMatches,AwayWins,AwayDraws,AwayLosses,AwayGoals,AwayGoalsAllowed,AwayComebackWins,AwayBlownLeads,TotalMatches,TotalWins,TotalDraws,TotalLosses,TotalGoals,TotalGoalsAllowed,GoalDifference,TotalComebackWins,TotalBlownLeads,WinRate,ComebackRate,BlownLeadRate
2002/03,Man City,19,9,2,8,28,26,0,0,19,6,4,9,19,28,0,0,38,15,6,17,47,54,-7,0,0,0.39473684210526316,0.0,0.0
2002/03,Man United,19,16,2,1,42,12,1,1,19,9,6,4,32,22,1,3,38,25,8,5,74,34,40,2,4,0.6578947368421053,0.05263157894736842,0.10526315789473684
2002/03,Middlesbrough,19,10,7,2,36,21,0,1,19,3,3,13,12,23,0,1,38,13,10,15,48,44,4,0,2,0.34210526315789475,0.0,0.05263157894736842
2002/03,Newcastle,19,15,2,2,36,17,1,1,19,6,4,9,27,31,0,2,38,21,6,11,63,48,15,1,3,0.5526315789473685,0.02631578947368421,0.07894736842105263
2002/03,Southampton,19,9,8,2,25,16,0,2,19,4,5,10,18,30,0,3,38,13,13,12,43,46,-3,0,5,0.34210526315789475,0.0,0.13157894736842105
2002/03,Sunderland,19,3,2,14,11,31,0,2,19,1,5,13,10,34,0,4,38,4,7,27,21,65,-44,0,6,0.10526315789473684,0.0,0.15789473684210525
2002/03,Tottenham,19,9,4,6,30,29,0,0,19,5,4,10,21,33,0,2,38,14,8,16,51,62,-11,0,2,0.3684210526315789,0.0,0.05263157894736842
2002/03,West Brom,19,3,5,11,17,34,0,2,19,3,3,13,12,31,0,1,38,6,8,24,29,65,-36,0,3,0.15789473684210525,0.0,0.07894736842105263
2002/03,West Ham,19,5,7,7,21,24,1,3,19,5,5,9,21,35,0,0,38,10,12,16,42,59,-17,1,3,0.2631578947368421,0.02631578947368421,0.07894736842105263
2003/04,Arsenal,16,12,4,0,29,11,1,0,17,10,7,0,32,12,1,2,33,22,11,0,61,23,38,2,2,0.6666666666666666,0.06060606060606061,0.06060606060606061
2003/04,Aston Villa,16,8,5,3,20,14,0,1,18,6,4,8,22,23,0,1,34,14,9,11,42,37,5,0,2,0.4117647058823529,0.0,0.058823529411764705
2003/04,Birmingham,18,8,5,5,25,22,1,1,16,4,7,5,14,19,0,0,34,12,12,10,39,41,-2,1,1,0.35294117647058826,0.029411764705882353,0.029411764705882353
2003/04,Blackburn,16,4,3,9,22,28,0,1,17,6,4,7,22,21,0,1,33,10,7,16,44,49,-5,0,2,0.30303030303030304,0.0,0.06060606060606061
2003/04,Bolton,16,5,7,4,20,17,1,2,18,7,3,8,22,34,2,0,34,12,10,12,42,51,-9,3,2,0.35294117647058826,0.08823529411764706,0.058823529411764705
2003/04,Charlton,16,6,4,6,25,26,0,0,18,6,5,7,21,22,1,0,34,12,9,13,46,48,-2,1,0,0.35294117647058826,0.029411764705882353,0.0
2003/04,Chelsea,16,11,2,3,33,13,0,0,17,11,3,3,30,14,0,1,33,22,5,6,63,27,36,0,1,0.6666666666666666,0.0,0.030303030303030304
2003/04,Everton,18,7,5,6,24,19,0,0,16,1,5,10,16,31,0,2,34,8,10,16,40,50,-10,0,2,0.23529411764705882,0.0,0.058823529411764705
2003/04,Fulham,17,9,4,4,26,16,0,1,16,3,5,8,19,25,0,0,33,12,9,12,45,41,4,0,1,0.36363636363636365,0.0,0.030303030303030304
2003/04,Leeds,17,4,6,7,21,28,0,2,16,2,2,12,13,41,0,2,33,6,8,19,34,69,-35,0,4,0.18181818181818182,0.0,0.12121212121212122
2003/04,Leicester,18,3,10,5,19,26,0,3,15,3,5,7,26,30,0,2,33,6,15,12,45,56,-11,0,5,0.18181818181818182,0.0,0.15151515151515152
2003/04,Liverpool,15,9,2,4,24,13,0,0,18,6,8,4,24,18,0,2,33,15,10,8,48,31,17,0,2,0.45454545454545453,0.0,0.06060606060606061
2003/04,Man City,16,4,8,4,22,17,1,3,17,4,3,10,22,28,0,3,33,8,11,14,44,45,-1,1,6,0.24242424242424243,0.030303030303030304,0.18181818181818182
2003/04,Man United,18,11,4,3,36,15,0,0,16,9,2,5,23,18,1,1,34,20,6,8,59,33,26,1,1,0.5882352941176471,0.029411764705882353,0.029411764705882353
2003/04,Middlesbrough,18,7,4,7,22,22,0,1,17,5,4,8,18,24,0,1,35,12,8,15,40,46,-6,0,2,0.34285714285714286,0.0,0.05714285714285714
2003/04,Newcastle,17,11,3,3,32,13,1,1,17,2,10,5,15,22,1,2,34,13,13,8,47,35,12,2,3,0.38235294117647056,0.058823529411764705,0.08823529411764706
2003/04,Portsmouth,16,7,4,5,26,17,1,2,18,2,4,12,11,34,0,1,34,9,8,17,37,51,-14,1,3,0.2647058823529412,0.029411764705882353,0.08823529411764706
2003/04,Southampton,18,8,5,5,21,14,0,1,15,2,5,8,11,21,0,1,33,10,10,13,32,35,-3,0,2,0.30303030303030304,0.0,0.06060606060606061
2003/04,Tottenham,17,9,3,5,32,25,0,1,16,3,2,11,11,25,1,1,33,12,5,16,43,50,-7,1,2,0.36363636363636365,0.030303030303030304,0.06060606060606061
2003/04,Wolves,16,7,5,4,21,27,2,0,17,0,5,12,11,38,0,1,33,7,10,16,32,65,-33,2,1,0.21212121212121213,0.06060606060606061,0.030303030303030304
2004/05,Arsenal,16,10,5,1,43,18,0,3,17,11,3,3,30,15,0,1,33,21,8,4,73,33,40,0,4,0.6363636363636364,0.0,0.12121212121212122
2004/05,Aston Villa,17,8,5,4,24,14,1,1,17,4,5,8,17,28,1,0,34,12,10,12,41,42,-1,2,1,0.35294117647058826,0.058823529411764705,0.029411764705882353
2004/05,Birmingham,17,6,6,5,20,13,0,1,17,3,5,9,15,29,0,1,34,9,11,14,35,42,-7,0,2,0.2647058823529412,0.0,0.058823529411764705
2004/05,Blackburn,17,5,7,5,20,19,0,2,16,4,5,7,9,18,0,0,33,9,12,12,29,37,-8,0,2,0.2727272727272727,0.0,0.06060606060606061
2004/05,Bolton,17,8,5,4,22,14,0,2,17,7,3,7,22,24,0,1,34,15,8,11,44,38,6,0,3,0.4411764705882353,0.0,0.08823529411764706
2004/05,Charlton,17,8,3,6,27,23,0,1,17,4,6,7,13,27,0,1,34,12,9,13,40,50,-10,0,2,0.35294117647058826,0.0,0.058823529411764705
2004/05,Chelsea,17,12,5,0,31,5,0,1,16,13,2,1,31,7,0,0,33,25,7,1,62,12,50,0,1,0.7575757575757576,0.0,0.030303030303030304
2004/05,Crystal Palace,17,5,4,8,18,17,0,0,17,1,5,11,18,41,0,0,34,6,9,19,36,58,-22,0,0,0.17647058823529413,0.0,0.0
2004/05,Everton,17,11,1,5,21,14,0,0,16,6,5,5,19,19,0,0,33,17,6,10,40,33,7,0,0,0.5151515151515151,0.0,0.0
2004/05,Fulham,16,6,4,6,20,23,1,1,17,3,4,10,19,30,0,0,33,9,8,16,39,53,-14,1,1,0.2727272727272727,0.030303030303030304,0.030303030303030304
2004/05,Liverpool,17,11,3,3,28,13,1,0,17,5,3,9,20,22,2,1,34,16,6,12,48,35,13,3,1,0.47058823529411764,0.08823529411764706,0.029411764705882353
2004/05,Man City,17,7,5,5,21,13,0,4,17,4,6,7,21,24,0,4,34,11,11,12,42,37,5,0,8,0.3235294117647059,0.0,0.23529411764705882
2004/05,Man United,16,11,5,0,27,7,0,0,17,8,5,4,21,13,1,2,33,19,10,4,48,20,28,1,2,0.5757575757575758,0.030303030303030304,0.06060606060606061
2004/05,Middlesbrough,17,7,6,4,24,19,0,1,16,5,4,7,22,25,0,1,33,12,10,11,46,44,2,0,2,0.36363636363636365,0.0,0.06060606060606061
2004/05,Newcastle,16,7,4,5,24,24,0,2,16,2,7,7,18,27,0,5,32,9,11,12,42,51,-9,0,7,0.28125,0.0,0.21875
2004/05,Norwich,17,5,5,7,27,32,1,1,17,0,7,10,10,35,0,1,34,5,12,17,37,67,-30,1,2,0.14705882352941177,0.029411764705882353,0.058823529411764705
2004/05,Portsmouth,17,7,3,7,25,24,1,0,17,2,5,10,13,29,0,3,34,9,8,17,38,53,-15,1,3,0.2647058823529412,0.029411764705882353,0.08823529411764706
2004/05,Southampton,17,4,9,4,25,25,0,2,17,1,4,12,12,30,0,0,34,5,13,16,37,55,-18,0,2,0.14705882352941177,0.0,0.058823529411764705
2004/05,Tottenham,17,8,4,5,31,21,0,0,17,5,5,7,11,17,0,0,34,13,9,12,42,38,4,0,0,0.38235294117647056,0.0,0.0
2004/05,West Brom,16,4,7,5,14,21,0,0,17,1,7,9,18,32,0,5,33,5,14,14,32,53,-21,0,5,0.15151515151515152,0.0,0.15151515151515152
2005/06,Arsenal,19,14,3,2,48,13,0,0,19,6,4,9,20,18,0,1,38,20,7,11,68,31,37,0,1,0.5263157894736842,0.0,0.02631578947368421
2005/06,Aston Villa,19,6,6,7,20,20,0,2,19,4,6,9,22,35,0,0,38,10,12,16,42,55,-13,0,2,0.2631578947368421,0.0,0.05263157894736842
2005/06,Birmingham,19,6,5,8,19,20,0,0,19,2,5,12,9,30,0,0,38,8,10,20,28,50,-22,0,0,0.21052631578947367,0.0,0.0
2005/06,Blackburn,19,13,3,3,31,17,1,0,19,6,3,10,20,25,0,1,38,19,6,13,51,42,9,1,1,0.5,0.02631578947368421,0.02631578947368421
2005/06,Bolton,19,11,5,3,29,13,0,1,19,4,6,9,20,28,0,2,38,15,11,12,49,41,8,0,3,0.39473684210526316,0.0,0.07894736842105263
2005/06,Charlton,19,8,4,7,22,21,1,1,19,5,4,10,19,34,1,0,38,13,8,17,41,55,-14,2,1,0.34210526315789475,0.05263157894736842,0.02631578947368421
2005/06,Chelsea,19,18,1,0,47,9,1,1,19,11,3,5,25,13,0,1,38,29,4,5,72,22,50,1,2,0.7631578947368421,0.02631578947368421,0.05263157894736842
2005/06,Everton,19,8,4,7,22,22,0,2,19,6,4,9,12,27,0,0,38,14,8,16,34,49,-15,0,2,0.3684210526315789,0.0,0.05263157894736842
2005/06,Fulham,19,13,2,4,31,21,0,1,19,1,4,14,17,37,0,3,38,14,6,18,48,58,-10,0,4,0.3684210526315789,0.0,0.10526315789473684
2005/06,Liverpool,19,15,3,1,32,8,0,0,19,10,4,5,25,17,0,0,38,25,7,6,57,25,32,0,0,0.6578947368421053,0.0,0.0
2005/06,Man City,19,9,2,8,26,20,0,0,19,4,2,13,17,28,0,0,38,13,4,21,43,48,-5,0,0,0.34210526315789475,0.0,0.0
2005/06,Man United,19,13,5,1,37,8,0,2,19,12,3,4,35,26,1,0,38,25,8,5,72,34,38,1,2,0.6578947368421053,0.02631578947368421,0.05263157894736842
2005/06,Middlesbrough,19,7,5,7,28,30,1,1,19,5,4,10,20,28,0,1,38,12,9,17,48,58,-10,1,2,0.3157894736842105,0.02631578947368421,0.05263157894736842
2005/06,Newcastle,19,11,5,3,28,15,0,2,19,6,2,11,19,27,1,0,38,17,7,14,47,42,5,1,2,0.4473684210526316,0.02631578947368421,0.05263157894736842
2005/06,Portsmouth,19,5,7,7,17,24,0,2,19,5,1,13,20,38,2,2,38,10,8,20,37,62,-25,2,4,0.2631578947368421,0.05263157894736842,0.10526315789473684
2005/06,Sunderland,19,1,4,14,12,37,0,4,19,2,2,15,14,32,0,0,38,3,6,29,26,69,-43,0,4,0.07894736842105263,0.0,0.10526315789473684
2005/06,Tottenham,19,12,5,2,31,16,2,2,19,6,6,7,22,22,1,1,38,18,11,9,53,38,15,3,3,0.47368421052631576,0.07894736842105263,0.07894736842105263
2005/06,West Brom,19,6,2,11,21,24,0,0,19,1,7,11,10,34,0,2,38,7,9,22,31,58,-27,0,2,0.18421052631578946,0.0,0.05263157894736842
2005/06,West Ham,19,9,3,7,30,25,1,2,19,7,4,8,22,30,2,1,38,16,7,15,52,55,-3,3,3,0.42105263157894735,0.07894736842105263,0.07894736842105263
2005/06,Wigan,19,7,3,9,24,26,0,2,19,8,3,8,21,26,0,0,38,15,6,17,45,52,-7,0,2,0.39473684210526316,0.0,0.05263157894736842
2006/07,Arsenal,19,12,6,1,43,16,1,1,19,7,5,7,20,19,0,0,38,19,11,8,63,35,28,1,1,0.5,0.02631578947368421,0.02631578947368421
2006/07,Aston Villa,19,7,8,4,20,14,0,0,19,4,9,6,23,27,0,4,38,11,17,10,43,41,2,0,4,0.2894736842105263,0.0,0.10526315789473684
2006/07,Blackburn,19,9,3,7,31,25,0,1,19,6,4,9,21,29,1,3,38,15,7,16,52,54,-2,1,4,0.39473684210526316,0.02631578947368421,0.10526315789473684
